TimesUsed,OftenText,OftenVideo,OftenPhone,OftenSocialMedia,OftenSoloGame,OftenMultiplay,OftenEntertain,OftenCultural,OftenCreative,FeatureTalkFriends,FeatureTalkStranger,FeatureScreenshot,DataPriv,PrivFeatUsed,ControlPriv,BiometricDevelop,BiometricMarket,BiometricSellAnon,BiometricSellData,SoloVMulti,UseVRGames,UseVRUnique,UseVRImmersive,UseVRFriends,UseVRStrangers,UseVRAlone,UseVRDemo,PrimaryUseVR,WishFriends,VRAlone,Lonely,ConnectPeople,NegSocExperience,HarrBubble,HarrInvisib,HarrMute,HarrBlock,HarrLive,HarrVoice,IdealAvatar,WorkTime,HoursVR,USLive,State,GenderID,ConsiderHarrassment,DescribHarr,Howlong,Country
More than once a week,Daily,Daily,Once a week,Daily,Monthly,Monthly,Monthly,Monthly,Daily,Important,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software",Not at all,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Get work done,Agree,Disagree,Agree,Agree,"Racist or homophobic comments, Rude gestures",Effective,Effective,Effective,Effective,Effective,Effective,"It looks like me., It looks non-human (robot/animal)., The graphics look like a cartoon.",Over half of my time in VR is work-related.,6-10 hours,Yes,New York,Male,No,NA,More than a year,NA
About once a week,Never used,Once a week,Never used,Once a week,2 + times per week,Monthly,Once a week,Monthly,2 + times per week,Very important,Unimportant,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Somewhat,Somewhat acceptable,Somewhat acceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Spend time alone,Disagree,Strongly agree,Strongly agree,Disagree,no,Neutral,Effective,Effective,Ineffective,Neutral,Strongly ineffective,It looks like me.,I don't use VR in my work.,2-5 hours,Yes,New York,Male,No,NA,More than a year,NA
2-3x/month,Daily,Once a week,Once a week,Daily,Monthly,Once a week,2 + times per week,Once a week,Once a week,Important,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Adblocker software",Somewhat,Somewhat acceptable,Neutral,Somewhat unacceptable,Somewhat unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Unique experiences,Agree,Disagree,Strongly disagree,Agree,I have experienced none of these,Effective,Effective,Effective,Effective,Effective,Effective,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,2-5 hours,Yes,New York,Female,Yes,Not yet.. Hopefully never!,More than a year,NA
More than once a week,Daily,Once a week,Daily,Daily,2 + times per week,Monthly,Once a week,Monthly,Monthly,Important,Unimportant,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password)",Very little,Acceptable,Neutral,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Play games,Agree,Agree,Agree,Disagree,I have experienced none of these,Effective,Ineffective,Effective,Strongly effective,Neutral,Neutral,"It looks like me., It looks non-human (robot/animal)., The graphics look realistic.",I don't use VR in my work.,2-5 hours,Yes,Maryland,Male,No,NA,More than a year,NA
More than once a week,Daily,Rarely,Never used,Daily,Daily,Never used,Never used,Rarely,Never used,Unimportant,Unimportant,Unimportant,Important,"Password manager (Last Pass, 1Password), Adblocker software",Not at all,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,exercise,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,It looks like me.,I don't use VR in my work.,6-10 hours,Yes,Pennsylvania,Female,No,NA,Between 6 months and a year,NA
2-3x/month,Daily,2+ times per week,Rarely,Daily,Monthly,Never used,Never used,Monthly,Monthly,Unimportant,Very unimportant,Very unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",To a great extent,Acceptable,Acceptable,Acceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly agree,Unique experiences,Agree,Disagree,Agree,Strongly disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,It looks like me.,Over half of my time in VR is work-related.,1 hour or less,Yes,Oregon,Male,I don't know/Not applicable,NA,Less than 3 months,NA
About once a week,Daily,Daily,Daily,Daily,Once a week,Once a week,2 + times per week,2 + times per week,2 + times per week,Very important,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Somewhat acceptable,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Unique experiences,Disagree,Disagree,Strongly agree,Agree,"Rude gestures, Stalking",Effective,Effective,Strongly effective,Strongly effective,Strongly effective,Effective,The graphics look like a cartoon.,Over half of my time in VR is work-related.,2-5 hours,Yes,New York,Female,Yes,NA,More than a year,NA
More than once a week,Daily,Rarely,2+ times per week,Daily,Once a week,Rarely,Never used,Rarely,Monthly,Very unimportant,Very unimportant,Very unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Acceptable,Acceptable,Somewhat acceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Unique experiences,Disagree,Strongly agree,Disagree,Disagree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments",Strongly effective,Strongly effective,Effective,Effective,Effective,Neutral,It doesn't look like me.,Over half of my time in VR is work-related.,2-5 hours,Yes,Oregon,Male,Yes,NA,More than a year,NA
More than once a week,Never used,Never used,Never used,Never used,Daily,Never used,Rarely,Rarely,Rarely,Neutral,Very unimportant,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Not at all,Somewhat unacceptable,Somewhat unacceptable,Neutral,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Play games,Agree,Strongly agree,Disagree,Disagree,I have experienced none of these,Effective,Strongly ineffective,Strongly ineffective,Effective,Effective,Strongly ineffective,It looks like me.,Less than half of my time in VR is work-related.,2-5 hours,Yes,Minnesota,Female,I don't know/Not applicable,NA,More than a year,NA
About once a week,Daily,2+ times per week,2+ times per week,Daily,Once a week,Monthly,Once a week,Monthly,Monthly,Important,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Neutral,Neutral,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Exciting experiences,Agree,Agree,Disagree,Disagree,Assault,Effective,Effective,Effective,Effective,Effective,Ineffective,"It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",Over half of my time in VR is work-related.,2-5 hours,Yes,California,Female,Yes,Entered a multiplayer game with a female avatar and had a (at least what sounded like a) kid come up to my avatar and start touching it while making and laughing,More than a year,NA
More than once a week,Daily,2+ times per week,2+ times per week,2+ times per week,Rarely,Never used,Never used,Rarely,Monthly,Very unimportant,Very unimportant,Very unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software",Very little,Neutral,Somewhat unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Get work done,Agree,Agree,Agree,Strongly disagree,"Sexually suggestive or sexist comments, Racist or homophobic comments, Rude gestures",Neutral,Effective,Strongly ineffective,Neutral,Strongly effective,Neutral,"It looks non-human (robot/animal)., It doesn't look like me.",Over half of my time in VR is work-related.,1 hour or less,Yes,California,Female,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Daily,Daily,2 + times per week,Once a week,Once a week,Monthly,2 + times per week,Neutral,Very unimportant,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Neutral,Neutral,Neutral,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Unique experiences,Strongly agree,Strongly agree,Disagree,Disagree,"Sexually suggestive or sexist comments, Assault",Effective,Effective,Effective,Effective,Neutral,Neutral,It looks like me.,Less than half of my time in VR is work-related.,2-5 hours,Yes,California,Female,Yes,"An evident teenage boy called out to his peers that I was female, got in my face (literally), blocked my avatar by pressing images against me, and heckled me for about 10 minutes.  I asked him to stop and told him it was inappropriate.  I asked his friends also to make him stop.  I left the game.  ",Less than 3 months,NA
More than once a week,Daily,2+ times per week,2+ times per week,Daily,Rarely,2 + times per week,Rarely,Rarely,Rarely,Very important,Important,Unimportant,Unimportant,Adblocker software,Somewhat,Acceptable,Acceptable,Acceptable,Neutral,I spend significantly more time in multi-user than in single-user/solo experiences.,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Meet new people,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,"Sexually suggestive or sexist comments, Catcalling/lewd noises, Groping",Effective,Neutral,Effective,Strongly effective,Strongly effective,Ineffective,"It looks non-human (robot/animal)., It doesn't look like me.",I don't use VR in my work.,11-20 hours,Yes,Tennessee,Female,Yes,User described what he wanted to do to me sexually through a message. ,Between 6 months and a year,NA
More than once a week,Daily,Once a week,Daily,Daily,Once a week,2 + times per week,2 + times per week,2 + times per week,Once a week,Important,Important,Important,Important,Adblocker software,Very little,Somewhat acceptable,Somewhat acceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Unique experiences,Agree,Disagree,Disagree,Agree,"Sexually suggestive or sexist comments, Rude gestures, Stalking",Effective,Don't know/NA,Don't know/NA,Ineffective,Effective,Strongly ineffective,"It looks like me., The graphics look realistic.",Less than half of my time in VR is work-related.,2-5 hours,Yes,Oregon,Female,Yes,"In alt space I wanted to explore alone, a guy started following me and wanted to show me around. He wouldn't leave me alone, he told  me he was lonely and just wanted to talk. We talked for a bit,  and then I tried to leave again. He got manipulative, I eventually just unplugged. 

",Between 6 months and a year,NA
About once a week,Daily,2+ times per week,Daily,Daily,Rarely,Rarely,Once a week,2 + times per week,Daily,Unimportant,Very unimportant,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Unacceptable,Unacceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Disagree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Get work done,Disagree,Agree,Disagree,Disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,It looks non-human (robot/animal).,Over half of my time in VR is work-related.,2-5 hours,Yes,California,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Never used,Daily,Once a week,Once a week,Monthly,Once a week,Once a week,Very important,Unimportant,Neutral,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Somewhat acceptable,Neutral,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Play games,Agree,Disagree,Agree,Agree,I have experienced none of these,Effective,Effective,Ineffective,Ineffective,Neutral,Neutral,It looks like me.,Less than half of my time in VR is work-related.,2-5 hours,No,NA,Male,Yes,NA,More than a year,Canada
About once a week,Daily,Monthly,Once a week,Daily,Once a week,Once a week,Rarely,Rarely,Monthly,Unimportant,Unimportant,Very unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software",Not at all,Neutral,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Unique experiences,Disagree,Agree,Strongly disagree,Disagree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises",Effective,Effective,Effective,Effective,Effective,Neutral,The graphics look realistic.,I don't use VR in my work.,6-10 hours,No,NA,Male,No,"Just starting a multiplayer game, when a team had to be formed, there was a lot of people who grabbed to my character and started shouting. I disconnected immediately",More than a year,Spain
More than once a week,Daily,Once a week,Daily,Daily,Once a week,Once a week,Rarely,Monthly,2 + times per week,Unimportant,Neutral,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software",Somewhat,Acceptable,Somewhat unacceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,I<d5>m currently building out a vr project ,Agree,Disagree,Agree,Disagree,"I have experienced none of these, Nothing more than RecRoom trash talk",Strongly effective,Strongly effective,Strongly effective,Strongly effective,Neutral,Don't know/NA,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",Over half of my time in VR is work-related.,2-5 hours,Yes,Oregon,Male,No,Not applicable  ,More than a year,NA
About once a week,Daily,Monthly,Daily,Daily,Once a week,Monthly,Rarely,Rarely,Monthly,Important,Neutral,Neutral,Unimportant,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Adblocker software",Very little,Acceptable,Acceptable,Somewhat acceptable,Neutral,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Unique experiences,Disagree,Agree,Disagree,Disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,It looks like me.,Over half of my time in VR is work-related.,6-10 hours,Yes,Washington,Male,I don't know/Not applicable,NA,Between 3 months and 6 months,NA
2-3x/month,Daily,Monthly,Once a week,2+ times per week,Rarely,Never used,Rarely,Monthly,Never used,Neutral,Very unimportant,Unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Neutral,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Unique experiences,Disagree,Agree,Disagree,Disagree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures, Uninvited lewd pictures, Groping",Effective,Effective,Ineffective,Effective,Neutral,Neutral,"It looks non-human (robot/animal)., It doesn't look like me.",I don't use VR in my work.,2-5 hours,Yes,Oregon,Gender variant/non-conforming,Yes,NA,Between 3 months and 6 months,NA
More than once a week,Daily,2+ times per week,Daily,Daily,Daily,2 + times per week,2 + times per week,Monthly,2 + times per week,Neutral,Important,Important,Very important,"Password manager (Last Pass, 1Password), Adblocker software",Somewhat,Acceptable,Somewhat acceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Unique experiences,Disagree,Disagree,Disagree,Agree,I have experienced none of these,Effective,Effective,Effective,Effective,Neutral,Effective,"It looks like me., The graphics look like a cartoon.",Over half of my time in VR is work-related.,11-20 hours,Yes,California,Male,No,NA,More than a year,NA
About once a week,Daily,Once a week,Rarely,Daily,Once a week,Monthly,Rarely,Monthly,Once a week,Important,Unimportant,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Somewhat acceptable,Unacceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Exciting experiences,Strongly agree,Agree,Disagree,Disagree,I have experienced none of these,Effective,Effective,Effective,Strongly effective,Strongly effective,Ineffective,"It looks non-human (robot/animal)., The graphics look like a cartoon.",Less than half of my time in VR is work-related.,2-5 hours,No,NA,Male,No,NA,Between 3 months and 6 months,Switzerland
More than once a week,Daily,Once a week,Once a week,Daily,2 + times per week,Monthly,Monthly,Monthly,Once a week,Neutral,Neutral,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor), Adblocker software",Very little,Somewhat acceptable,Somewhat acceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Play games,Agree,Strongly agree,Agree,Disagree,I have experienced none of these,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"It looks like me., It looks non-human (robot/animal).",Over half of my time in VR is work-related.,6-10 hours,No,NA,Male,No,NA,More than a year,France
More than once a week,Daily,Rarely,2+ times per week,Daily,Monthly,Rarely,Rarely,Monthly,Daily,Unimportant,Unimportant,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software",Very little,Neutral,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Art,Agree,Agree,Strongly disagree,Disagree,I have experienced none of these,Neutral,Effective,Effective,Effective,Effective,Strongly ineffective,The graphics look like a cartoon.,Over half of my time in VR is work-related.,More than 20 hours,No,NA,Male,I don't know/Not applicable,NA,More than a year,The Netherlands
More than once a week,2+ times per week,Never used,2+ times per week,Daily,2 + times per week,Rarely,2 + times per week,Monthly,Monthly,Neutral,Very unimportant,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Anonymous browsers/proxies (Tor), Adblocker software",Very little,Unacceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Play games,Disagree,Strongly agree,Agree,Strongly disagree,I have experienced none of these,Effective,Effective,Effective,Strongly effective,Effective,Effective,"It looks non-human (robot/animal)., It doesn't look like me., The graphics look like a cartoon.",Over half of my time in VR is work-related.,1 hour or less,Yes,Missouri,Male,I don't know/Not applicable,NA,Less than 3 months,NA
More than once a week,Daily,Daily,Daily,Daily,2 + times per week,Once a week,Rarely,Once a week,Once a week,Very important,Very important,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Adblocker software",Somewhat,Neutral,Somewhat unacceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Play games,Agree,Agree,Agree,Agree,"Sexually suggestive or sexist comments, Rude gestures",Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,It looks non-human (robot/animal).,Over half of my time in VR is work-related.,More than 20 hours,Yes,Wisconsin,Male,No,NA,More than a year,NA
About once a week,Daily,Once a week,Daily,Daily,Once a week,Monthly,Monthly,Monthly,Monthly,Unimportant,Unimportant,Unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Somewhat,Acceptable,Acceptable,Somewhat acceptable,Neutral,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Unique experiences,Agree,Agree,Strongly disagree,Disagree,I have experienced none of these,Strongly effective,Neutral,Neutral,Strongly effective,Effective,Neutral,It looks like me.,Over half of my time in VR is work-related.,6-10 hours,No,NA,Male,I don't know/Not applicable,NA,More than a year,United Kingdom 
2-3x/month,Monthly,Never used,Never used,Daily,Monthly,Never used,Rarely,Rarely,Never used,Neutral,Neutral,Neutral,Very important,"Anonymous browsers/proxies (Tor), Adblocker software",Very little,Unacceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Play games,Disagree,Agree,Disagree,Disagree,I have experienced none of these,Effective,Effective,Strongly effective,Strongly effective,Strongly ineffective,Neutral,"It looks like me., The graphics look realistic.",Less than half of my time in VR is work-related.,More than 20 hours,No,NA,Male,No,NA,More than a year,England
More than once a week,Daily,2+ times per week,Daily,Daily,2 + times per week,Daily,2 + times per week,2 + times per week,Daily,Very important,Important,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Anonymous browsers/proxies (Tor)",Very little,Acceptable,Neutral,Somewhat unacceptable,Somewhat unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Play games,Strongly agree,Agree,Strongly agree,Agree,Violent comments or threats,Effective,Effective,Effective,Effective,Effective,Neutral,It looks non-human (robot/animal).,I don't use VR in my work.,11-20 hours,No,NA,Male,No,NA,Less than 3 months,Belgium
More than once a week,Daily,Monthly,Daily,Daily,Never used,2 + times per week,Once a week,Never used,Never used,Very important,Neutral,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Somewhat,Acceptable,Acceptable,Somewhat acceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Play games,Strongly agree,Agree,Strongly disagree,Agree,I have experienced none of these,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Don't know/NA,Strongly ineffective,It looks like me.,I don't use VR in my work.,6-10 hours,No,NA,Male,No,NA,Less than 3 months,Greece
More than once a week,2+ times per week,Never used,2+ times per week,Daily,Daily,Rarely,Rarely,Rarely,Rarely,Unimportant,Neutral,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Somewhat,Somewhat acceptable,Somewhat acceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Play games,Disagree,Agree,Disagree,Strongly disagree,I have experienced none of these,Effective,Strongly effective,Effective,Strongly effective,Neutral,Ineffective,The graphics look realistic.,I don't use VR in my work.,2-5 hours,No,NA,Male,I don't know/Not applicable,NA,More than a year,norway
More than once a week,Rarely,Rarely,Rarely,Daily,Daily,Never used,Rarely,Rarely,Rarely,Very unimportant,Very unimportant,Very unimportant,Very important,Don't know/Prefer not to answer,To a great extent,Acceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Play games,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,"Don't multiplayer in VR, so...",Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,It looks like me.,I don't use VR in my work.,More than 20 hours,No,NA,Male,I don't know/Not applicable,NA,More than a year,Belgium
More than once a week,Daily,Rarely,2+ times per week,Daily,2 + times per week,Rarely,Rarely,Rarely,Rarely,Unimportant,Unimportant,Very unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password)",Very little,Acceptable,Neutral,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Play games,Disagree,Strongly agree,Disagree,Disagree,I have experienced none of these,Don't know/NA,Effective,Effective,Effective,Effective,Ineffective,It looks like me.,I don't use VR in my work.,6-10 hours,Yes,Illinois,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Rarely,Daily,Daily,Never used,Never used,Once a week,Monthly,Never used,Don't know/NA,Don't know/NA,Don't know/NA,Very important,None of these,Not at all,Somewhat unacceptable,Somewhat unacceptable,Somewhat unacceptable,Somewhat unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Video game development,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,The graphics look like a cartoon.,Over half of my time in VR is work-related.,More than 20 hours,Yes,Oregon,Male,I don't know/Not applicable,NA,More than a year,NA
About once a week,Daily,Monthly,Once a week,Daily,Once a week,Once a week,Once a week,Once a week,Monthly,Unimportant,Unimportant,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Acceptable,Neutral,Neutral,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Unique experiences,Disagree,Agree,Disagree,Strongly disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,"It looks like me., The graphics look like a cartoon.",Less than half of my time in VR is work-related.,2-5 hours,Yes,New York,Female,I don't know/Not applicable,NA,More than a year,NA
